building_id,damage_grade
16359,1
668877,2
633403,2
130680,3
893025,3
788031,2
349647,2
222677,2
947511,2
148780,2
379416,2
839627,2
987638,3
445466,3
187328,2
536741,1
820980,2
1001211,3
958270,3
529167,2
202855,3
781376,3
497543,3
681953,2
35342,3
1010647,2
482177,3
768309,3
302088,3
983757,2
687793,3
914607,3
964464,2
394887,2
605133,2
32876,3
430033,2
704365,2
478109,2
822123,2
843876,3
498033,2
439687,2
784416,3
310898,1
394715,2
820036,3
823727,1
452896,3
83319,2
633822,2
368822,3
698090,3
306718,3
69563,3
439469,1
243336,3
866257,2
325354,2
524218,2
620352,1
474163,3
473131,2
640922,2
170932,3
965204,2
211823,2
111922,2
677782,3
736917,2
304399,1
239849,2
410144,2
183695,2
587203,2
547113,2
744391,3
792287,3
523289,3
70230,2
184559,2
437424,2
863672,2
784379,2
593388,2
674106,2
490605,1
363823,3
730166,2
794145,2
131033,2
843065,2
462481,2
154199,2
129492,2
446118,3
346877,3
54554,3
871131,2
122582,3
51958,3
19347,1
863583,1
987896,1
657022,3
848799,3
403412,2
297066,1
728392,2
1037827,2
405967,2
284687,2
25060,3
507037,3
1021940,2
1014029,2
859294,3
238192,2
759223,2
830940,2
844577,3
18261,1
221667,2
622507,2
224581,2
117277,3
344944,3
940178,1
93871,2
540231,3
253527,3
400746,3
662481,3
89715,2
914402,3
735596,3
179186,3
734262,2
892757,2
1038055,1
995893,2
42812,3
342588,1
265658,2
28256,2
558362,3
371460,1
1005153,2
435773,2
473460,2
734725,3
294873,2
260178,3
546791,2
855143,2
74955,3
316063,2
476861,2
710139,1
178610,2
374894,1
824908,3
704355,3
820337,3
554217,3
465967,2
678325,3
284791,2
1010412,2
744521,2
258610,2
68573,2
99130,2
333180,3
704722,2
648904,3
794612,2
1038195,2
380926,1
807000,2
234992,2
301886,1
757933,1
953300,2
686997,3
517085,3
346872,3
745881,1
468260,2
345309,2
473760,2
478042,3
1037877,2
478141,2
218111,2
916737,2
641132,2
710929,3
493888,2
221715,2
569088,3
792223,2
198280,1
1007134,1
887956,3
516097,2
