iter	TotalF1	MultiClass
0	0.6210261666	1.081674259
1	0.6212137424	1.06577952
2	0.6179644824	1.050925727
3	0.6222518949	1.03665752
4	0.6224794912	1.023271532
5	0.6227025541	1.010826492
6	0.6212081581	0.9989976807
7	0.6222380653	0.9880006619
8	0.6233638424	0.9772650736
9	0.623980412	0.9673200425
10	0.6210127653	0.9577132312
11	0.6195811488	0.9486749086
12	0.6217228675	0.9400556169
13	0.6174169579	0.9317660838
14	0.6180456678	0.9241005102
15	0.6185400687	0.9165556006
16	0.619173166	0.9095074994
17	0.6197076522	0.9028439791
18	0.6186593723	0.8963325516
19	0.6182255781	0.8899027067
20	0.6177197372	0.8839847856
21	0.6184352089	0.8783119254
22	0.6186460575	0.8728459923
23	0.6194099547	0.8676978303
24	0.6203089639	0.8626488876
25	0.6197738136	0.8580008363
26	0.6197232609	0.8535316709
27	0.6200813041	0.8491306795
28	0.6209829886	0.8448354319
29	0.6210467284	0.8408772036
30	0.621186465	0.8371254827
31	0.6224717731	0.8332574558
32	0.6225536375	0.8297522884
33	0.6213129862	0.826405122
34	0.6215019958	0.8230138935
35	0.6220731096	0.8198498837
36	0.6223858434	0.8165184806
37	0.622533135	0.8135073671
38	0.6230187002	0.8105844779
39	0.6232306848	0.8076448101
40	0.6232165139	0.8050566141
41	0.6232337191	0.802440428
42	0.6233551065	0.7999926494
43	0.6234382968	0.7974813015
44	0.6236566616	0.7953399894
45	0.6236704746	0.7932999327
46	0.6240659943	0.7914294649
47	0.6240469799	0.7893240137
48	0.6245719378	0.7873054704
49	0.6245631094	0.7855939095
50	0.6243772037	0.7837840343
51	0.6244905093	0.7819553358
52	0.6244487412	0.7803204135
53	0.6241152066	0.7788352211
54	0.6243136147	0.7772489946
55	0.6245031293	0.7757819275
56	0.6249005004	0.7742864744
57	0.6249458298	0.7728591212
58	0.625113325	0.771079585
59	0.6255950605	0.769469698
60	0.6256470896	0.768273965
61	0.6257210861	0.7667805809
62	0.6259377001	0.7653259683
63	0.625850984	0.764048511
64	0.625834648	0.7628629149
65	0.6259604854	0.7617615413
66	0.6262288309	0.7608600418
67	0.6262854018	0.759897156
68	0.6265088755	0.7588791157
69	0.6265022314	0.757873272
70	0.6264525196	0.7569698447
71	0.6265998273	0.7561428765
72	0.6270104873	0.7552122783
73	0.6270117025	0.7543943144
74	0.6272959996	0.7534072261
75	0.6275582538	0.752597983
76	0.6275572698	0.7517574239
77	0.6276065337	0.7510532311
78	0.6281802072	0.7503102571
79	0.6285670785	0.7494235536
80	0.628652945	0.7488862657
81	0.6287860474	0.7481721044
82	0.6288121115	0.7476194321
83	0.6289471174	0.7469306728
84	0.6289111058	0.7463483199
85	0.6290152021	0.7455842887
86	0.6290681976	0.7450342919
87	0.6290620434	0.7445840093
88	0.6290543241	0.7439637903
89	0.6290603337	0.7433822867
90	0.628996184	0.7428843668
91	0.6291362718	0.7422110821
92	0.6294094663	0.7416910756
93	0.6296657126	0.7409374993
94	0.6299114532	0.7404950745
95	0.6299726133	0.7400606679
96	0.6300788145	0.7396403647
97	0.6300193154	0.7392126045
98	0.6300773502	0.7388589941
99	0.6301837037	0.7384008603
100	0.6304155401	0.7380229444
101	0.6304149675	0.7376762454
102	0.6308105301	0.7371778101
103	0.6309585739	0.7367870802
104	0.631050614	0.7363799699
105	0.6312596092	0.7360022735
106	0.6312738576	0.7354811844
107	0.631168713	0.7351746526
108	0.6311461767	0.7347001294
109	0.6312085341	0.7344001388
110	0.6315518234	0.7339939844
111	0.6316565415	0.7337341366
112	0.6318270537	0.7333128718
113	0.6318236356	0.733027812
114	0.6317683195	0.7327225458
115	0.6317191547	0.732431994
116	0.6319837996	0.7320707719
117	0.6319923305	0.7316513499
118	0.6320988112	0.7313508305
119	0.6322175475	0.7308743034
120	0.6323620547	0.7306285169
121	0.6323884734	0.7303593479
122	0.6324102171	0.7300258384
123	0.6324810233	0.7297250934
124	0.6326439483	0.7294431275
125	0.6327373839	0.7289841044
126	0.6327519006	0.7287729515
127	0.6327359015	0.7284746193
128	0.6328029701	0.7282759709
129	0.6329108619	0.7280559861
130	0.6330951186	0.727832607
131	0.6331422996	0.7276015722
132	0.6330176121	0.7273366413
133	0.6330192107	0.7270645962
134	0.633108002	0.7268798965
135	0.6330580813	0.7265386143
136	0.6329645526	0.726304628
137	0.6330365204	0.7260272263
138	0.633146479	0.7258352501
139	0.6332378735	0.7256715234
140	0.6332666689	0.7253863093
141	0.6333059044	0.725178299
142	0.6332068412	0.7249774722
143	0.633358921	0.7248031072
144	0.6335035468	0.7245774914
145	0.6335821276	0.7244239209
146	0.6336705955	0.7242752552
147	0.6337488108	0.724123927
148	0.6338752718	0.7239581648
149	0.6339165055	0.7238055702
150	0.6340512004	0.7235471245
151	0.6342072134	0.7233515269
152	0.6341937065	0.7232004814
153	0.6343090752	0.722932294
154	0.6344623622	0.7228022528
155	0.6346275762	0.7225663754
156	0.6345604758	0.7224488931
157	0.634592825	0.7223232236
158	0.6347401262	0.7221217149
159	0.6348432269	0.7219334406
160	0.6349775348	0.7217553854
161	0.6349909432	0.7215899172
162	0.6351884999	0.7213773361
163	0.6354403947	0.7212453621
164	0.6355398294	0.7210803129
165	0.6355681589	0.7209665484
166	0.6356199181	0.7207512378
167	0.6357769491	0.7206068534
168	0.6358405229	0.7203693834
169	0.6358645949	0.7201701062
170	0.6359925328	0.7200103012
171	0.6360501967	0.7198575598
172	0.6361061183	0.7197428439
173	0.6362508861	0.7196173744
174	0.6364969784	0.719424696
175	0.6365426651	0.7192629708
176	0.636525041	0.7191646603
177	0.6367736132	0.7190400921
178	0.6366745465	0.7189792469
179	0.6368214109	0.7188313781
180	0.6369118204	0.7186949642
181	0.6369660417	0.7185272245
182	0.6370208623	0.7183757006
183	0.6373103049	0.7182635929
184	0.6372844409	0.7181660667
185	0.6373747778	0.7179858379
186	0.6373765059	0.7178476154
187	0.6374609699	0.7177574185
188	0.6375802813	0.7176581717
189	0.6376805784	0.7174489858
190	0.6380464412	0.7173333409
191	0.6382209776	0.7171890671
192	0.638326655	0.7170006041
193	0.6384787345	0.7168612079
194	0.6384788276	0.7167414577
195	0.6387239079	0.7166289236
196	0.6387423898	0.7165353759
197	0.6389155429	0.7164337987
198	0.6388510921	0.7163208834
199	0.6391037556	0.716168229
200	0.6390832485	0.7160134175
201	0.6390921664	0.7158735351
202	0.6392679591	0.7157167451
203	0.6393500804	0.7156415038
204	0.6395697062	0.7155348321
205	0.6397098047	0.7154016556
206	0.6398049077	0.7152748569
207	0.6398036366	0.7151816806
208	0.6399116865	0.7150752001
209	0.6399356518	0.7149856428
210	0.6399799914	0.7149080949
211	0.6403079115	0.7148024751
212	0.6403477497	0.7147070483
213	0.6404972191	0.7145839106
214	0.6404687676	0.7144510624
215	0.6404529235	0.7143499035
216	0.6405772735	0.7142431863
217	0.6406620409	0.7141540246
218	0.6406761138	0.7140454138
219	0.6407861276	0.7139401311
220	0.640745976	0.7138275723
221	0.6408259411	0.7136990679
222	0.6410718016	0.7135852567
223	0.6411203511	0.7134730829
224	0.6411788151	0.7133920429
225	0.6412359709	0.71332925
226	0.6414111706	0.713233394
227	0.6415663561	0.7131391049
228	0.6416197543	0.7130336572
229	0.6416355096	0.7129356952
230	0.6416362448	0.7128313918
231	0.641728161	0.7127141857
232	0.6417977471	0.7126095922
233	0.6420519027	0.7124879049
234	0.6421352962	0.7123778672
235	0.6421441068	0.712265094
236	0.6420966709	0.7121610782
237	0.6422836732	0.7120872157
238	0.6423385264	0.71199789
239	0.6424789695	0.7119082135
240	0.6426005613	0.7118462012
241	0.642638623	0.7117527111
242	0.6426390267	0.7116677256
243	0.6427208547	0.7115877709
244	0.6427557123	0.7115148695
245	0.6428179648	0.7113580691
246	0.6428043359	0.7112894877
247	0.6429129963	0.7111884598
248	0.6429626857	0.711081627
249	0.6429924043	0.7109873537
250	0.6430069281	0.7109189688
251	0.6429948134	0.7108327912
252	0.6429918735	0.7107748753
253	0.6430310936	0.7106906517
254	0.6430753296	0.7106381844
255	0.6430993868	0.7105655282
256	0.6432772126	0.7104564065
257	0.6432294738	0.7104010189
258	0.643303742	0.7103219594
259	0.6435840933	0.7102551806
260	0.643524691	0.7101710373
261	0.6436339095	0.7100649659
262	0.6435684047	0.7099623872
263	0.6436675951	0.7098975788
264	0.6437400782	0.7098296373
265	0.6438064208	0.7097622607
266	0.6437606491	0.7096523269
267	0.6438568438	0.7095922881
268	0.6438155634	0.7095373447
269	0.6439078008	0.7094682818
270	0.6438848569	0.7094019738
271	0.6439077298	0.7093671939
272	0.6438768978	0.7092878122
273	0.6439830285	0.7092023493
274	0.644067269	0.7091351425
275	0.6441892475	0.7090308153
276	0.6444649374	0.7089642218
277	0.6445302118	0.7089357638
278	0.6446037573	0.7088732167
279	0.6446897911	0.7088178374
280	0.6446625122	0.708748732
281	0.6447701682	0.7086747496
282	0.6449164527	0.708612197
283	0.644948431	0.708519696
284	0.6449930426	0.7084577891
285	0.645012181	0.7084075711
286	0.645171869	0.7083435818
287	0.6452691041	0.7082343611
288	0.6452818667	0.70817063
289	0.645337483	0.7081109991
290	0.6454430765	0.7080718554
291	0.6455455856	0.7079910777
292	0.6456660555	0.7079289116
293	0.645722566	0.7078958314
294	0.6457344234	0.7078095687
295	0.6458195793	0.7077438135
296	0.6458954275	0.7076770967
297	0.6460199267	0.7076141095
298	0.6460143168	0.7075104084
299	0.646181015	0.7074367185
300	0.6462864168	0.7073411651
301	0.6463049539	0.7072706145
302	0.646341399	0.7071870627
303	0.6463633083	0.7071184427
304	0.6464244344	0.7070542481
305	0.6464399678	0.7069999916
306	0.6465479268	0.7069310456
307	0.646570289	0.7068459617
308	0.6466695147	0.7067919803
309	0.646651633	0.7067298557
310	0.6467151376	0.7066666544
311	0.6468068183	0.7066343983
312	0.646794345	0.7065641067
313	0.6468027333	0.7065050356
314	0.6469163025	0.7064321609
315	0.6469431109	0.7063731737
316	0.6469682286	0.706313384
317	0.6470537179	0.7062635268
318	0.6471703586	0.7062137418
319	0.6471837699	0.7061456296
320	0.6472349081	0.7061015421
321	0.6474618287	0.706039697
322	0.6475523131	0.7059850353
323	0.6476654305	0.7059284198
324	0.6477651652	0.7058521309
325	0.647816163	0.7057957255
326	0.6478312693	0.7057379401
327	0.6479476828	0.7056850441
328	0.6480473612	0.705618185
329	0.6480631357	0.7055809185
330	0.6483777852	0.7055021627
331	0.6483789849	0.7054386304
332	0.6483841632	0.705390123
333	0.6485286322	0.7053210182
334	0.6485679014	0.7052578659
335	0.6486337718	0.7052138541
336	0.6486872322	0.7051714217
337	0.6487397156	0.7051146312
338	0.6487131814	0.7050360419
339	0.6488206873	0.7049777346
340	0.6489054634	0.7049083692
341	0.6489233211	0.7048538924
342	0.6489339132	0.7047955039
343	0.6489244677	0.7047645769
344	0.6489671944	0.7047198154
345	0.6490266903	0.7046537493
346	0.6491428165	0.7046031911
347	0.6493984566	0.7045196936
348	0.6493961228	0.7044953128
349	0.6494843472	0.7044546582
350	0.6493883455	0.7043756346
351	0.6494128788	0.7042926436
352	0.6495536554	0.7042326809
353	0.6495627832	0.7041932448
354	0.6496242069	0.7041340215
355	0.6497091982	0.7040827175
356	0.649704301	0.7040288598
357	0.6498157633	0.7039732745
358	0.6499660974	0.7039389263
359	0.6500025131	0.7038895472
360	0.6500973733	0.7038612947
361	0.6501420618	0.7037847622
362	0.6502684926	0.7037118845
363	0.6503922007	0.7036720726
364	0.6504946993	0.7036358903
365	0.6506116508	0.7035777371
366	0.6506450523	0.7035351432
367	0.6507408231	0.7034775626
368	0.6507953527	0.7034071018
369	0.6507906832	0.7033770367
370	0.6507910934	0.7033203604
371	0.650824853	0.703280094
372	0.6507920411	0.7032454012
373	0.6508854388	0.7031803018
374	0.6509680141	0.7031230416
