iter	Passed	Remaining
0	281	280931
1	464	231999
2	631	209774
3	783	195061
4	933	185820
5	1095	181485
6	1268	179946
7	1440	178649
8	1599	176085
9	1754	173695
10	1916	172282
11	2072	170623
12	2224	168895
13	2376	167403
14	2538	166723
15	2693	165632
16	2854	165052
17	3001	163732
18	3163	163316
19	3334	163388
20	3494	162911
21	3660	162726
22	3809	161836
23	3964	161234
24	4124	160873
25	4274	160129
26	4438	159935
27	4598	159616
28	4758	159319
29	4908	158723
30	5072	158549
31	5256	159001
32	5429	159089
33	5597	159039
34	5758	158759
35	5905	158126
36	6057	157646
37	6238	157924
38	6394	157575
39	6559	157435
40	6715	157067
41	6875	156823
42	7032	156519
43	7194	156318
44	7372	156451
45	7527	156105
46	7682	155765
47	7835	155395
48	7988	155041
49	8135	154569
50	8287	154219
51	8442	153909
52	8602	153706
53	8754	153362
54	8931	153464
55	9088	153198
56	9236	152810
57	9412	152871
58	9578	152761
59	9743	152648
60	9898	152376
61	10072	152383
62	10233	152202
63	10408	152225
64	10564	151963
65	10735	151930
66	10899	151782
67	11049	151436
68	11213	151297
69	11383	151234
70	11541	151013
71	11697	150766
72	11854	150539
73	12029	150537
74	12194	150396
75	12353	150191
76	12525	150140
77	12679	149872
78	12828	149558
79	13002	149530
80	13158	149294
81	13314	149056
82	13492	149062
83	13646	148812
84	13815	148721
85	13967	148443
86	14142	148412
87	14297	148173
88	14462	148040
89	14619	147817
90	14773	147576
91	14935	147404
92	15096	147235
93	15267	147152
94	15438	147072
95	15600	146908
96	15772	146830
97	15931	146636
98	16085	146396
99	16265	146387
100	16427	146223
101	16587	146035
102	16746	145836
103	16919	145772
104	17087	145646
105	17259	145562
106	17441	145566
107	17625	145573
108	17810	145588
109	17979	145468
110	18159	145437
111	18328	145318
112	18506	145270
113	18687	145238
114	18847	145042
115	19027	145001
116	19196	144874
117	19373	144808
118	19541	144675
119	19713	144564
120	19877	144398
121	20049	144288
122	20217	144155
123	20389	144042
124	20557	143903
125	20740	143863
126	20903	143693
127	21074	143567
128	21258	143538
129	21427	143398
130	21576	143131
131	21738	142947
132	21901	142768
133	22057	142550
134	22218	142360
135	22370	142120
136	22528	141913
137	22693	141754
138	22836	141453
139	22995	141256
140	23150	141034
141	23303	140807
142	23459	140591
143	23624	140433
144	23789	140276
145	23968	140196
146	24119	139957
147	24276	139753
148	24469	139756
149	24629	139568
150	24789	139377
151	24943	139159
152	25101	138963
153	25253	138728
154	25419	138578
155	25581	138400
156	25738	138203
157	25904	138050
158	26066	137873
159	26224	137676
160	26390	137525
161	26548	137333
162	26727	137243
163	26902	137134
164	27061	136948
165	27228	136798
166	27399	136667
167	27571	136544
168	27737	136391
169	27903	136235
170	28060	136036
171	28220	135851
172	28375	135645
173	28544	135504
174	28707	135333
175	28862	135130
176	29018	134928
177	29185	134776
178	29357	134648
179	29510	134434
180	29661	134215
181	29833	134086
182	29995	133914
183	30144	133685
184	30303	133499
185	30459	133300
186	30627	133158
187	30789	132982
188	30935	132743
189	31109	132622
190	31275	132468
191	31439	132306
192	31603	132145
193	31753	131922
194	31922	131781
195	32073	131568
196	32236	131398
197	32400	131239
198	32565	131082
199	32726	130905
200	32877	130694
201	33030	130485
202	33211	130393
203	33362	130179
